Firename_year,Year,Region,Ranger_unit,FIRE_NAME,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Firefighter_fatalities,Damaged_structures,Civilian_fatalities,Incident_number,Ranger_unit2,National_forest,County,County2,County3,DPA2,Fire_name2
KEENE COMPLEX_2011,2011,NA,NA,KEENE COMPLEX,9/10/11,9/14/11,CDF,10470,NA,B,Lightning,0,0,0,0,KRN-0027912,NA,NA,Kern,NA,NA,CC,NA
TUU SEPT LIGHTNING_2011,2011,NA,NA,TUU SEPT LIGHTNING,9/23/11,9/24/11,CDF,350,NA,G,Lightning,0,0,0,0,TUU-0000393,NA,NA,Tulare,NA,NA,NA,NA
RIVER_2012,2012,NA,NA,RIVER,5/18/12,5/22/12,CDF,320,NA,G,Undetermined,0,0,0,0,MMU-7830,NA,NA,Mariposa,NA,NA,NA,NA
BILLY_2012,2012,NA,NA,BILLY,5/31/12,5/31/12,CDF,434,NA,G,Electrical power,0,0,0,0,MMU-008599,NA,NA,Merced,NA,NA,NA,NA
LASSEN_2012,2012,NA,NA,LASSEN,6/12/12,6/13/12,CDF,418,NA,G,Undetermined,0,0,0,0,FKU-7091,NA,NA,Fresno,NA,NA,NA,NA
RAIL_2012,2012,NA,NA,RAIL,7/9/12,7/12/12,CDF,1870,NA,B,Undetermined,0,0,0,0,LNU-5056,NA,NA,Colusa,NA,NA,NA,NA
PASKENTA_2012,2012,NA,NA,PASKENTA,7/25/12,7/25/12,CDF,300,NA,GB,Vehicle,0,0,0,0,TGU-5964,NA,NA,Tehama,NA,NA,NA,NA
GRAPE_2012,2012,NA,NA,GRAPE,7/28/12,7/29/12,CDF,370,NA,G,Undetermined,0,0,0,0,KRN-22306,NA,NA,Kern,NA,NA,NA,NA
RUSHMORE_2012,2012,NA,NA,RUSHMORE,8/4/12,8/4/12,CDF,1000,NA,G,Undetermined,0,0,0,0,RRU-76402,NA,NA,Riverside,NA,NA,NA,NA
PIUTE COMPLEX_2012,2012,NA,NA,PIUTE COMPLEX,8/4/12,8/11/12,USFS,NA,1783,TGB,Lightning,0,0,0,0,SQF-2476,NA,NA,Kern,NA,NA,NA,NA
