Firename_year,Fire_year_month,Fire_year,Region,Ranger_unit,Ranger_unit2,FIRE_NAME,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Incident_number,National_forest,County,County2,County3,Fire_name2,DPA2,Damaged_structures,Firefighter_fatalities,Civilian_fatalities,Start_month
TAMARACK_2011,TAMARACK_2011_9,2011,NA,NA,NA,TAMARACK,2011-09-13,2011-10-17,NPS,NA,1015,B,Lightning,0,YNP-0003619,NA,Mariposa,NA,NA,NA,NA,0,0,0,9
BURST COMPLEX_2011,BURST COMPLEX_2011_9,2011,NA,NA,NA,BURST COMPLEX,2011-09-15,2011-09-15,USFS,NA,508,T,Lightning,0,STF-3013,NA,Tuolumne,NA,NA,NA,NA,0,0,0,9
MIN_2011,MIN_2011_9,2011,NA,NA,NA,MIN,2011-09-17,2011-09-30,USFS,NA,634,B,Campfire,0,ANF-0004969,NA,Los Angeles,NA,NA,NA,NA,0,0,0,9
RUTH_2011,RUTH_2011_9,2011,NA,NA,NA,RUTH,2011-09-23,2011-11-15,USFS,NA,1460,T,Debris Burning,0,SRF-0001848,NA,Trinity,NA,NA,NA,NA,0,0,0,9
WINDY POINT_2011,WINDY POINT_2011_9,2011,NA,NA,NA,WINDY POINT,2011-09-25,2011-10-03,USFS,NA,541,G,Misc,0,BDF-013860,NA,Riverside,NA,NA,NA,NA,0,0,0,9
SALT_2011,SALT_2011_12,2011,NA,NA,NA,SALT,2011-12-01,2011-01-04,USFS,NA,342,G,Equipment Use,0,ENF-0038070,NA,El Dorado,NA,NA,NA,NA,0,0,0,12
RIVER_2012,RIVER_2012_5,2012,NA,NA,NA,RIVER,2012-05-18,2012-05-22,CDF,320,NA,G,Undetermined,0,MMU-7830,NA,Mariposa,NA,NA,NA,NA,0,0,0,5
BANNER 4_2012,BANNER 4_2012_5,2012,NA,NA,NA,BANNER 4,2012-05-24,2012-05-29,CDF,5320,NA,G,Undetermined,0,MVU-005400,NA,San Diego,NA,NA,NA,NA,0,0,0,5
BILLY_2012,BILLY_2012_5,2012,NA,NA,NA,BILLY,2012-05-31,2012-05-31,CDF,434,NA,G,Electrical power,0,MMU-008599,NA,Merced,NA,NA,NA,NA,0,0,0,5
5 MILE_2012,5 MILE_2012_6,2012,NA,NA,NA,5 MILE,2012-06-08,2012-06-09,CDF,525,NA,GB,Equipment use,0,LAC-134232,NA,Los Angeles,NA,NA,NA,NA,0,0,0,6
GAINES_2012,GAINES_2012_6,2012,NA,NA,NA,GAINES,2012-06-12,2012-06-14,CDF,1700,NA,G,Electrical power,0,MMU-009308,NA,Mariposa,NA,NA,NA,NA,0,0,0,6
LASSEN_2012,LASSEN_2012_6,2012,NA,NA,NA,LASSEN,2012-06-12,2012-06-13,CDF,418,NA,G,Undetermined,0,FKU-7091,NA,Fresno,NA,NA,NA,NA,0,0,0,6
HIGHLAND_2012,HIGHLAND_2012_6,2012,NA,NA,NA,HIGHLAND,2012-06-16,2012-06-18,CDF,2171,NA,BG,Undetermined,0,RRU-059216,NA,Riverside,NA,NA,NA,NA,0,0,0,6
VIEW_2012,VIEW_2012_6,2012,NA,NA,NA,VIEW,2012-06-17,2012-06-18,CDF,375,NA,B,Electrical power,0,RRU-059775,NA,Riverside,NA,NA,NA,NA,0,0,0,6
OLD 2_2012,OLD 2_2012_6,2012,NA,NA,NA,OLD 2,2012-06-17,2012-06-20,CDF,995,NA,B,Undetermined,2,MVU-6329,NA,San Diego,NA,NA,NA,NA,0,0,0,6
DALE_2012,DALE_2012_7,2012,NA,NA,NA,DALE,2012-07-05,2012-07-07,CDF,1083,NA,GB,Undetermined,2,SHU-005135,NA,Shasta,NA,NA,NA,NA,5,0,0,7
FISH_2012,FISH_2012_7,2012,NA,NA,NA,FISH,2012-07-07,2012-07-09,CDF,1103,NA,B,Undetermined,0,BDU-7678,NA,Inyo,NA,NA,NA,NA,0,0,0,7
SITES_2012,SITES_2012_7,2012,NA,NA,NA,SITES,2012-07-08,2012-07-09,CDF,365,NA,G,Undetermined,0,LNU-5038,NA,Colusa,NA,NA,NA,NA,0,0,0,7
GRAPEVINE_2012,GRAPEVINE_2012_7,2012,NA,NA,NA,GRAPEVINE,2012-07-08,2012-07-12,CDF,1870,NA,B,Undetermined,0,LNU-5039,NA,Colusa,NA,NA,NA,NA,0,0,0,7
RAIL_2012,RAIL_2012_7,2012,NA,NA,NA,RAIL,2012-07-09,2012-07-12,CDF,1870,NA,B,Undetermined,0,LNU-5056,NA,Colusa,NA,NA,NA,NA,0,0,0,7
TURKEY_2012,TURKEY_2012_7,2012,NA,NA,NA,TURKEY,2012-07-09,2012-07-10,CDF,2529,NA,TG,Equipment use,0,BEU-3109,NA,Monterey,NA,NA,NA,NA,0,0,0,7
SEVEN_2012,SEVEN_2012_7,2012,NA,NA,NA,SEVEN,2012-07-10,2012-07-11,CDF,840,NA,B,Undetermined,1,TCU-6227,NA,Tuolumne,NA,NA,NA,NA,0,0,0,7
ROBBERS_2012,ROBBERS_2012_7,2012,NA,NA,NA,ROBBERS,2012-07-11,2012-07-21,CDF,2650,NA,BT,Arson,8,NEU-15060,NA,Placer,NA,NA,NA,NA,0,0,0,7
CALF_2012,CALF_2012_7,2012,NA,NA,NA,CALF,2012-07-16,2012-07-18,CDF,640,NA,B,Equipment use,0,SLU-5716,NA,San Luis Obispo,NA,NA,NA,NA,0,0,0,7
SAND_2012,SAND_2012_7,2012,NA,NA,NA,SAND,2012-07-17,2012-07-19,CDF,1428,NA,GB,Equipment use,1,KRN-22306,NA,Kern,NA,NA,NA,NA,0,0,0,7
FOREST_2012,FOREST_2012_7,2012,NA,NA,NA,FOREST,2012-07-21,2012-07-24,CDF,520,NA,G,Equipment use,0,LNU-5495,NA,Yolo,NA,NA,NA,NA,0,0,0,7
PASKENTA_2012,PASKENTA_2012_7,2012,NA,NA,NA,PASKENTA,2012-07-25,2012-07-25,CDF,300,NA,GB,Vehicle,0,TGU-5964,NA,Tehama,NA,NA,NA,NA,0,0,0,7
GRAPE_2012,GRAPE_2012_7,2012,NA,NA,NA,GRAPE,2012-07-28,2012-07-29,CDF,370,NA,G,Undetermined,0,KRN-22306,NA,Kern,NA,NA,NA,NA,0,0,0,7
NORTH_2012,NORTH_2012_7,2012,NA,NA,NA,NORTH,2012-07-25,2012-07-30,CDF,383,NA,B,Undetermined,0,MEU-5115,NA,Mendocino,NA,NA,NA,NA,0,0,0,7
VOLCANO_2012,VOLCANO_2012_8,2012,NA,NA,NA,VOLCANO,2012-08-01,2012-08-05,CDF,356,NA,GB,Equipment use,1,RRU-7075254,NA,Riverside,NA,NA,NA,NA,0,0,0,8
RUSHMORE_2012,RUSHMORE_2012_8,2012,NA,NA,NA,RUSHMORE,2012-08-04,2012-08-04,CDF,1000,NA,G,Undetermined,0,RRU-76402,NA,Riverside,NA,NA,NA,NA,0,0,0,8
CHIHUAHUA 2_2012,CHIHUAHUA 2_2012_8,2012,NA,NA,NA,CHIHUAHUA 2,2012-08-09,2012-08-12,CDF,2006,NA,B,Lightning,0,MVU-8547,NA,San Diego,NA,NA,NA,NA,0,0,0,8
WYE_2012,WYE_2012_8,2012,NA,NA,NA,WYE,2012-08-12,2012-08-18,CDF,2934,NA,B,Undetermined,3,LNU-6335,NA,Lake/Colusa,NA,NA,NA,NA,2,0,0,8
WALKER_2012,WALKER_2012_8,2012,NA,NA,NA,WALKER,2012-08-12,2012-08-14,CDF,5000,NA,G,Undetermined,0,LNU-6334,NA,Lake/Colusa,NA,NA,NA,NA,0,0,0,8
VALLECITO LIGHTNING COMPLEX_2012,VALLECITO LIGHTNING COMPLEX_2012_8,2012,NA,NA,NA,VALLECITO LIGHTNING COMPLEX,2012-08-13,2012-08-20,CDF,22829,NA,B,Lightning,0,MVU-8747,NA,San Diego,NA,NA,NA,NA,0,0,0,8
MILL_2012,MILL_2012_8,2012,NA,NA,NA,MILL,2012-08-13,2012-08-23,CDF,1641,NA,TG,Arson,0,BTU-8116,NA,Tehama,NA,NA,NA,NA,0,0,0,8
BUCK_2012,BUCK_2012_8,2012,NA,NA,NA,BUCK,2012-08-14,2012-08-18,CDF,2681,NA,GB,Lightning,4,RRU-080142,NA,Riverside,NA,NA,NA,NA,0,0,0,8
PONDEROSA_2012,PONDEROSA_2012_8,2012,NA,NA,NA,PONDEROSA,2012-08-18,2012-09-02,CDF,27676,NA,TG,Lightning,133,TGU-6696,NA,Tehama/Shasta,NA,NA,NA,NA,6,0,0,8
VISTA_2012,VISTA_2012_8,2012,NA,NA,NA,VISTA,2012-08-20,2012-08-21,CDF,500,NA,G,Equipment use,0,RRU-82306,NA,Riverside,NA,NA,NA,NA,0,0,0,8
SIXTEEN COMPLEX_2012,SIXTEEN COMPLEX_2012_9,2012,NA,NA,NA,SIXTEEN COMPLEX,2012-09-04,2012-09-11,CDF,19000,NA,TGB,Undetermined,0,LNU-7072,NA,Colusa,NA,NA,NA,NA,0,0,0,9
SCOTTS_2012,SCOTTS_2012_9,2012,NA,NA,NA,SCOTTS,2012-09-07,2012-09-14,CDF,4517,NA,B,Campfire,0,MEU-6376,NA,Lake,NA,NA,NA,NA,0,0,0,9
SHOCKEY_2012,SHOCKEY_2012_9,2012,NA,NA,NA,SHOCKEY,2012-09-23,2012-09-27,CDF,2555,NA,B,Undetermined,39,MVU-010383,NA,San Diego,NA,NA,NA,NA,2,0,0,9
RANGE_2012,RANGE_2012_9,2012,NA,NA,NA,RANGE,2012-09-29,9012-10-01,CDF,351,NA,GB,Misc,3,RRU-96791,NA,Riverside,NA,NA,NA,NA,0,0,0,9
TWENTY NINE_2012,TWENTY NINE_2012_10,2012,NA,NA,NA,TWENTY NINE,2012-10-18,2012-10-21,CDF,300,NA,BT,Electrical power,8,LNU-008431,NA,Lake,NA,NA,NA,NA,0,0,0,10
GEORGE_2012,GEORGE_2012_6,2012,NA,NA,NA,GEORGE,2012-06-01,2012-06-15,USFS,NA,1707,TB,Unidentified,0,SQF-1384,NA,Tulare,NA,NA,NA,NA,0,0,0,6
OZENA_2012,OZENA_2012_6,2012,NA,NA,NA,OZENA,2012-06-16,2012-06-17,USFS,NA,361,B,Unidentified,0,LPE-1439,NA,Ventura,NA,NA,NA,NA,0,0,0,6
GULCH_2012,GULCH_2012_6,2012,NA,NA,NA,GULCH,2012-06-19,2012-06-21,USFS,NA,385,BG,Human,1,SQF-001644,NA,Kern,NA,NA,NA,NA,0,0,0,6
HILL_2012,HILL_2012_6,2012,NA,NA,NA,HILL,2012-06-23,2012-06-27,USFS,NA,689,B,UL,0,LPF-1505,NA,Ventura,NA,NA,NA,NA,0,0,0,6
FLAT_2012,FLAT_2012_7,2012,NA,NA,NA,FLAT,2012-07-11,2012-07-17,USFS,NA,1688,TG,Unidentified,0,SHF-2290,NA,Trinity,NA,NA,NA,NA,0,0,0,7
MILL_2012,MILL_2012_7,2012,NA,NA,NA,MILL,2012-07-07,2012-07-18,USFS,NA,29502,TB,Unidentified,5,MNF-1109,NA,Colusa,NA,NA,NA,NA,0,0,0,7
SPANISH_2012,SPANISH_2012_7,2012,NA,NA,NA,SPANISH,2012-07-18,2012-07-21,USFS,NA,1169,GB,NA,0,NOD-3016,NA,Lassen,NA,NA,NA,NA,0,0,0,7
WOODS CREEK_2012,WOODS CREEK_2012_7,2012,NA,NA,NA,WOODS CREEK,2012-07-15,2012-07-21,USFS,NA,325,T,Lightning,0,KNP-0072,NA,Fresno,NA,NA,NA,NA,0,0,0,7
PEAK_2012,PEAK_2012_7,2012,NA,NA,NA,PEAK,2012-07-29,2012-08-02,USFS,NA,800,TB,Unidentified,0,PNF-00998,NA,Plumas,NA,NA,NA,NA,0,0,0,7
SALT CREEK_2012,SALT CREEK_2012_8,2012,NA,NA,NA,SALT CREEK,2012-08-01,2012-08-04,USFS,NA,980,TBG,Unidentified,1,SHF-2521,NA,Shasta,NA,NA,NA,NA,0,0,0,8
DILLON_2012,DILLON_2012_8,2012,NA,NA,NA,DILLON,2012-08-03,2012-08-07,USFS,NA,318,T,Human,0,KNF-5426,NA,Siskiyou,NA,NA,NA,NA,0,0,0,8
LAKE COMPLEX_2012,LAKE COMPLEX_2012_8,2012,NA,NA,NA,LAKE COMPLEX,2012-08-05,2012-08-09,USFS,NA,1668,TGB,Lightning,0,MDF-0429,NA,Modoc,NA,NA,NA,NA,0,0,0,8
PIUTE COMPLEX_2012,PIUTE COMPLEX_2012_8,2012,NA,NA,NA,PIUTE COMPLEX,2012-08-04,2012-08-11,USFS,NA,1783,TGB,Lightning,0,SQF-2476,NA,Kern,NA,NA,NA,NA,0,0,0,8
BEAR_2012,BEAR_2012_8,2012,NA,NA,NA,BEAR,2012-08-05,2012-08-12,USFS,NA,835,TB,Lightning,0,SNF-1940,NA,Fresno,NA,NA,NA,NA,0,0,0,8
INDIAN_2012,INDIAN_2012_8,2012,NA,NA,NA,INDIAN,2012-08-08,2012-08-15,USFS,NA,12574,TGB,Lightning,0,OVD-942,NA,Mono,NA,NA,NA,NA,0,0,0,8
READING_2012,READING_2012_7,2012,NA,NA,NA,READING,2012-07-23,2012-08-21,NPS,NA,28079,T,Lightning,0,LNP-3115,NA,Shasta,NA,NA,NA,NA,0,0,0,7
NELSON (W-1)_2012,NELSON (W-1)_2012_8,2012,NA,NA,NA,NELSON (W-1),2012-08-17,2012-08-21,NPS,NA,3661,GB,Lightning,0,NOD-3596,NA,Modoc,NA,NA,NA,BLM,0,0,0,8
BAGLEY COMPLEX_2012,BAGLEY COMPLEX_2012_8,2012,NA,NA,NA,BAGLEY COMPLEX,2012-08-18,2012-08-22,NPS,NA,1000,T,Lightning,0,SHF-2735,NA,Shasta,NA,NA,NA,NA,0,0,0,8
JAWBONE COMPLEX_2012,JAWBONE COMPLEX_2012_8,2012,NA,NA,NA,JAWBONE COMPLEX,2012-08-10,2012-08-22,NPS,NA,1218,TB,Lightning,19,CDD-11542,NA,Kern,NA,NA,NA,BLM,9,0,0,8
ANTELOPE_2012,ANTELOPE_2012_8,2012,NA,NA,NA,ANTELOPE,2012-08-21,2012-08-25,NPS,NA,650,TG,Lightning,0,MDF-521,NA,Modoc,NA,NA,NA,NA,0,0,0,8
BARRYPOINT (CA LAND)_2012,BARRYPOINT (CA LAND)_2012_8,2012,NA,NA,NA,BARRYPOINT (CA LAND),2012-08-06,2012-08-28,USFS,NA,38394,T,Lightning,3,FWF-120680,NA,Modoc,NA,NA,NA,NA,0,0,0,8
RUSH_2012,RUSH_2012_8,2012,NA,NA,NA,RUSH,2012-08-12,2012-08-31,NPS,NA,271911,GB,Lightning,0,NOD-3490,NA,Lassen,NA,NA,NA,BLM,1,0,0,8
RAMSEY_2012,RAMSEY_2012_8,2012,NA,NA,NA,RAMSEY,2012-08-11,2012-08-31,USFS,NA,1137,T,Campfire,0,STF-2954,NA,Calaveras,NA,NA,NA,NA,0,0,0,8
CHIPS_2012,CHIPS_2012_7,2012,NA,NA,NA,CHIPS,2012-07-29,2012-08-31,USFS,NA,75217,TBG,Unidentified,9,PNF-1001,NA,Plumas/Lassen,NA,NA,NA,NA,0,0,0,7
FORT COMPLEX_2012,FORT COMPLEX_2012_8,2012,NA,NA,NA,FORT COMPLEX,2012-08-05,2012-09-10,USFS,NA,23653,TB,Lightning,0,KNF-5659,NA,Siskiyou,NA,NA,NA,NA,0,0,0,8
WILLIAMS_2012,WILLIAMS_2012_9,2012,NA,NA,NA,WILLIAMS,2012-09-02,2012-09-11,USFS,NA,4192,B,Unidentified,0,ANF-4803,NA,Los Angeles,NA,NA,NA,NA,0,0,0,9
STAFFORD_2012,STAFFORD_2012_9,2012,NA,NA,NA,STAFFORD,2012-09-05,2012-09-13,USFS,NA,4407,T,Unidentified,0,SHF-2894,NA,Trinity,NA,NA,NA,NA,0,0,0,9
WARD_2012,WARD_2012_9,2012,NA,NA,NA,WARD,2012-09-11,2012-09-14,USFS,NA,550,T,Unidentified,0,SHF-2922,NA,Shasta,NA,NA,NA,NA,0,0,0,9
BAGLEY_2012,BAGLEY_2012_8,2012,NA,NA,NA,BAGLEY,2012-08-18,2012-09-15,USFS,NA,46011,T,Lightning,0,SHF-2744,NA,Shasta,NA,NA,NA,NA,0,0,0,8
NORTH PASS_2012,NORTH PASS_2012_8,2012,NA,NA,NA,NORTH PASS,2012-08-18,2012-09-16,USFS,NA,41983,T,Lightning,26,MNF-1446,NA,Mendocino,NA,NA,NA,NA,4,0,0,8
LIKELY_2012,LIKELY_2012_9,2012,NA,NA,NA,LIKELY,2012-09-05,2012-09-14,USFS,NA,9838,GTB,Human,0,NOD-3916,NA,Lassen,NA,NA,NA,NA,0,0,0,9
SOUTH COMPLEX_2012,SOUTH COMPLEX_2012_8,2012,NA,NA,NA,SOUTH COMPLEX,2012-08-10,2012-10-16,USFS,NA,453,B,Lightning,0,DVP-11569,NA,Inyo,NA,NA,NA,NA,0,0,0,8
DEVORE_2012,DEVORE_2012_11,2012,NA,NA,NA,DEVORE,2012-11-05,2012-11-06,USFS,NA,335,GB,Unidentified,1,BDF-16430,NA,San Bernardino,NA,NA,NA,NA,0,0,0,11
CASCADE_2012,CASCADE_2012_6,2012,NA,NA,NA,CASCADE,2012-06-16,2012-11-26,NPS,NA,1705,T,Lightning,0,YNP-1473,NA,Mariposa,NA,NA,NA,NA,0,0,0,6
BECKS_2013,BECKS_2013_1,2013,NA,NA,NA,BECKS,2013-01-22,2013-01-23,CDF,335,NA,B,Debris Burning,0,LNU-477,NA,Lake,NA,NA,NA,NA,0,0,0,1
RIVER_2013,RIVER_2013_2,2013,NA,NA,NA,RIVER,2013-02-24,2013-02-28,CDF,407,NA,BG,Vehicle,0,BDU-2372,NA,Inyo,NA,NA,NA,NA,0,0,0,2
JURUPA_2013,JURUPA_2013_2,2013,NA,NA,NA,JURUPA,2013-02-28,2013-03-02,CDF,300,NA,T,Undetermined,0,RRU-22083,NA,Riverside,NA,NA,NA,NA,2,0,0,2
PANTHER_2013,PANTHER_2013_5,2013,NA,NA,NA,PANTHER,2013-05-01,2013-05-09,CDF,6896,NA,TB,Human,0,BTU-5648,NA,Tehama,NA,NA,NA,NA,0,0,0,5
SUMMIT_2013,SUMMIT_2013_5,2013,NA,NA,NA,SUMMIT,2013-05-01,2013-05-04,CDF,2956,NA,BG,Undetermined,2,RRU-44298,NA,Riverside,NA,NA,NA,NA,0,0,0,5
SPRINGS_2013,SPRINGS_2013_5,2013,NA,NA,NA,SPRINGS,2013-05-02,2013-05-09,CC,NA,24251,BG,Unidentified,10,VNC-12193,NA,Ventura,NA,NA,NA,NA,12,0,0,5
TRES PINOS_2013,TRES PINOS_2013_5,2013,NA,NA,NA,TRES PINOS,2013-05-03,2013-05-04,CDF,354,NA,G,Equipment use,0,BEU-2109,NA,San Benito,NA,NA,NA,NA,0,0,0,5
FOSTER_2013,FOSTER_2013_5,2013,NA,NA,NA,FOSTER,2013-05-03,2013-05-05,CDF,300,NA,T,Debris Burning,0,MEU-3381,NA,Mendocino,NA,NA,NA,NA,0,0,0,5
GORGONIO_2013,GORGONIO_2013_5,2013,NA,NA,NA,GORGONIO,2013-05-04,2013-05-04,CDF,650,NA,BG,Undetermined,0,RRU-45459,NA,Riverside,NA,NA,NA,NA,0,0,0,5
LAKE_2013,LAKE_2013_5,2013,NA,NA,NA,LAKE,2013-05-17,2013-05-20,CC,NA,712,BG,Human,0,LAC-118144,NA,Los Angeles,NA,NA,NA,NA,0,0,0,5
FELIPE_2013,FELIPE_2013_5,2013,NA,NA,NA,FELIPE,2013-05-23,2013-05-29,CDF,2650,NA,BG,Human,0,MVU-10345,NA,San Diego,NA,NA,NA,NA,0,0,0,5
RIVER_2013,RIVER_2013_5,2013,NA,NA,NA,RIVER,2013-05-26,2013-05-27,CDF,450,NA,BG,Human,0,MMU-8520,NA,Merced,NA,NA,NA,NA,0,0,0,5
GENERAL_2013,GENERAL_2013_5,2013,NA,NA,NA,GENERAL,2013-05-26,2013-05-31,CDF,2500,NA,B,Human,0,MVU-11025,NA,San Diego,NA,NA,NA,NA,0,0,0,5
SHELTON_2013,SHELTON_2013_5,2013,NA,NA,NA,SHELTON,2013-05-30,2013-05-30,CDF,303,NA,G,Equipment use,0,TCU-4607,NA,San Joaquin,NA,NA,NA,NA,0,0,0,5
ROLLING_2013,ROLLING_2013_6,2013,NA,NA,NA,ROLLING,2013-06-16,2013-06-15,CDF,480,NA,G,Vehicle,1,MMU-9861,NA,Madera,NA,NA,NA,NA,0,0,0,6
MILL_2013,MILL_2013_6,2013,NA,NA,NA,MILL,2013-06-28,2013-07-02,CDF,534,NA,BG,Human,0,BDU-7912,NA,San Bernardino,NA,NA,NA,NA,3,0,0,6
KIRKER_2013,KIRKER_2013_7,2013,NA,NA,NA,KIRKER,2013-07-01,2013-07-02,CDF,492,NA,TG,Electrical power,2,SCU-3899,NA,Contra Costa,NA,NA,NA,NA,0,0,0,7
FOX_2013,FOX_2013_7,2013,NA,NA,NA,FOX,2013-07-03,2013-07-07,CDF,502,NA,G,Lightning,0,LMU-2700,NA,Modoc,NA,NA,NA,NA,0,0,0,7
CHARIOT_2013,CHARIOT_2013_7,2013,NA,NA,NA,CHARIOT,2013-07-06,2013-07-15,CDF,7055,NA,TB,Undetermined,149,MVU-14084,NA,San Diego,NA,NA,NA,NA,9,0,0,7
MOUNTAIN_2013,MOUNTAIN_2013_7,2013,NA,NA,NA,MOUNTAIN,2013-07-15,2013-07-31,CDF,27531,NA,TB,Electrical power,23,RRU-71832,NA,Riverside,NA,NA,NA,NA,1,0,0,7
RANCHO_2013,RANCHO_2013_7,2013,NA,NA,NA,RANCHO,2013-07-19,2013-07-22,CC,NA,500,BG,Undetermined,0,KRN-1323633,NA,Kern,NA,NA,NA,NA,0,0,0,7
WATER_2013,WATER_2013_7,2013,NA,NA,NA,WATER,2013-07-23,2013-07-25,CC,NA,612,W,Human,0,KRN-1324091,NA,Kern,NA,NA,NA,NA,0,0,0,7
SILVER_2013,SILVER_2013_8,2013,NA,NA,NA,SILVER,2013-08-07,2013-08-15,CDF,20292,NA,B,Undetermined,48,RRU-79781,NA,Riverside,NA,NA,NA,NA,8,0,0,8
SWEDES_2013,SWEDES_2013_8,2013,NA,NA,NA,SWEDES,2013-08-16,2013-08-22,CDF,2264,NA,BG,Equipment use,8,BTU-10969,NA,Butte,NA,NA,NA,NA,0,0,0,8
DEER_2013,DEER_2013_8,2013,NA,NA,NA,DEER,2013-08-23,2013-08-26,CDF,11429,NA,BG,Electrical power,0,TGU-6768,NA,Tehama,NA,NA,NA,NA,0,0,0,8
MORGAN_2013,MORGAN_2013_9,2013,NA,NA,NA,MORGAN,2013-09-08,2013-09-14,CDF,3100,NA,G,Human,0,SCU-5452,NA,Contra Costa,NA,NA,NA,NA,0,0,0,9
CLOVER_2013,CLOVER_2013_9,2013,NA,NA,NA,CLOVER,2013-09-09,2013-09-15,CDF,8073,NA,B,Undetermined,196,SHU-8265,NA,Shasta,NA,NA,NA,NA,15,0,1,9
PUTAH_2013,PUTAH_2013_10,2013,NA,NA,NA,PUTAH,2013-10-03,2013-10-04,CDF,376,NA,G,Undetermined,0,LNU-8566,NA,Napa,NA,NA,NA,NA,0,0,0,10
SUMMIT_2013,SUMMIT_2013_10,2013,NA,NA,NA,SUMMIT,2013-10-04,2013-10-05,CDF,305,NA,BG,Misc,54,BTU-13464,NA,Butte,NA,NA,NA,NA,6,0,0,10
MCCABE_2013,MCCABE_2013_11,2013,NA,NA,NA,MCCABE,2013-11-22,2013-11-28,CDF,3505,NA,G,Electrical power,1,LNU-10188,NA,Sonoma,NA,NA,NA,NA,0,0,0,11
GRAND_2013,GRAND_2013_5,2013,NA,NA,NA,GRAND,2013-05-15,2013-05-22,USFS,NA,4346,BT,Unidentified,0,LPF-1281,NA,Kern,NA,NA,NA,NA,0,0,0,5
WHITE_2013,WHITE_2013_5,2013,NA,NA,NA,WHITE,2013-05-27,2013-06-05,USFS,NA,1984,BG,Human,0,LPF-1473,NA,Santa Barbara,NA,NA,NA,NA,1,0,0,5
POWERHOUSE_2013,POWERHOUSE_2013_5,2013,NA,NA,NA,POWERHOUSE,2013-05-30,2013-06-10,USFS,NA,30274,BT,Unidentified,58,ANF-2297,NA,Los Angeles,NA,NA,NA,NA,4,0,0,5
BRANCH_2013,BRANCH_2013_6,2013,NA,NA,NA,BRANCH,2013-06-01,2013-06-04,USFS,NA,486,BG,Unidentified,0,LPF-1535,NA,San Luis Obispo,NA,NA,NA,NA,0,0,0,6
HATHAWAY_2013,HATHAWAY_2013_6,2013,NA,NA,NA,HATHAWAY,2013-06-09,2013-10-15,USFS,NA,3870,B,Unidentified,1,BDF-8526,NA,Riverside,NA,NA,NA,NA,0,0,0,6
CARSTENS_2013,CARSTENS_2013_6,2013,NA,NA,NA,CARSTENS,2013-06-16,2013-06-26,USFS,NA,1708,T,Human,0,SNF-1216,NA,Mariposa,NA,NA,NA,NA,0,0,0,6
KYBURZ_2013,KYBURZ_2013_7,2013,NA,NA,NA,KYBURZ,2013-07-08,2013-07-11,USFS,NA,572,TB,Human,2,ENF-16230,NA,El Dorado,NA,NA,NA,NA,0,0,0,7
ASPEN_2013,ASPEN_2013_7,2013,NA,NA,NA,ASPEN,2013-07-22,2013-09-08,USFS,NA,22992,TB,Lightning,0,SNF-1732,NA,Fresno,NA,NA,NA,NA,0,0,0,7
DANCE_2013,DANCE_2013_7,2013,NA,NA,NA,DANCE,2013-07-29,2013-08-02,USFS,NA,577,TB,Unidentified,3,SRF-1373,NA,Humboldt,NA,NA,NA,NA,0,0,0,7
FORKS COMPLEX_2013,FORKS COMPLEX_2013_7,2013,NA,NA,NA,FORKS COMPLEX,2013-07-31,2013-10-01,USFS,NA,37246,TB,Human,0,KNF-5949,NA,Siskiyou,NA,NA,NA,NA,0,0,0,7
FALLS_2013,FALLS_2013_8,2013,NA,NA,NA,FALLS,2013-08-05,2013-08-09,USFS,NA,1383,BG,Unidentified,0,CNF-2512,NA,Riverside,NA,NA,NA,NA,2,0,0,8
POWER_2013,POWER_2013_8,2013,NA,NA,NA,POWER,2013-08-05,2013-08-13,USFS,NA,1070,B,Unidentified,0,STF-2613,NA,Tuolumne,NA,NA,NA,NA,0,0,0,8
CORRAL COMPLEX_2013,CORRAL COMPLEX_2013_8,2013,NA,NA,NA,CORRAL COMPLEX,2013-08-10,2013-10-02,USFS,NA,12503,TB,Lightning,0,SRF-1486,NA,Humboldt,NA,NA,NA,NA,0,0,0,8
AMERICAN_2013,AMERICAN_2013_8,2013,NA,NA,NA,AMERICAN,2013-08-11,2013-08-29,USFS,NA,27440,T,Unidentified,5,TNF-1562,NA,Placer,NA,NA,NA,NA,2,0,0,8
RIM_2013,RIM_2013_8,2013,NA,NA,NA,RIM,2013-08-17,2013-10-27,USFS,NA,257314,TB,Unidentified,112,STF-2857,NA,Tuolumne,NA,NA,NA,NA,7,0,0,8
SHIRLEY COMPLEX_2013,SHIRLEY COMPLEX_2013_8,2013,NA,NA,NA,SHIRLEY COMPLEX,2013-08-18,2013-08-22,USFS,NA,794,T,Lightning,0,SQF-3229,NA,Kern,NA,NA,NA,NA,0,0,0,8
HOUGH COMPLEX_2013,HOUGH COMPLEX_2013_8,2013,NA,NA,NA,HOUGH COMPLEX,2013-08-18,2013-08-24,USFS,NA,513,TB,Lightning,0,PNF-1324,NA,Plumas,NA,NA,NA,NA,0,0,0,8
GOBBLERS_2013,GOBBLERS_2013_8,2013,NA,NA,NA,GOBBLERS,2013-08-20,2013-08-30,USFS,NA,413,TG,Lightning,0,BDF-11417,NA,San Bernardino,NA,NA,NA,NA,0,0,0,8
