Year,FIRE_NAME,EXPECT_MATCH_2,DPA,Ranger_unit,County,Start,Contained,CDF_acres_burned,Other_acres_burned,Region,Ranger_unit2,County2,County3,Veg_type,Cause,Destroyed_structures,Incident_number,National_forest,Fire_name2,DPA2,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
1980,MISSION CREEK,,CDF,Riverside,NA,7/28/1980,7/31/1980,1250,0,VI,NA,NA,NA,BG,Lightning,NA,NA,NA,NA,NA,NA,NA,NA
1980,MONROE,,USFS,San Bernardino,NA,4/11/1980,4/14/1980,0,3000,VI,NA,NA,NA,B,Debris,NA,NA,NA,NA,NA,NA,NA,NA
1980,OTAY #6,,CDF,San Diego,NA,7/19/1980,7/20/1980,3210,0,VI,NA,NA,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1980,OWL,,CDF,Riverside,NA,10/28/1980,10/30/1980,13293,0,VI,NA,NA,NA,G,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1980,PANORAMA,,USFS,San Bernardino,NA,11/24/1980,11/30/1980,125,23475,VI,NA,NA,NA,B,Arson,325,NA,NA,NA,NA,NA,NA,NA
1980,PIPES,,CDF,San Bernardino,NA,7/20/1980,7/22/1980,2070,0,VI,NA,NA,NA,B,Campfire,NA,NA,NA,NA,NA,NA,NA,NA
1980,POWERLINE,,CDF,San Bernardino,NA,7/30/1980,7/30/1980,700,0,VI,NA,NA,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1980,PRADO,,CDF,San Bernardino,NA,10/27/1980,10/28/1980,1500,0,VI,NA,NA,NA,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA
1980,PROCTOR,,CDF,San Diego,NA,11/28/1980,11/30/1980,2434,0,VI,NA,NA,NA,BG,Misc,NA,NA,NA,NA,NA,NA,NA,NA
1980,PROVIDENCE,1,BLM,San Bernardino,NA,6/29/1980,6/29/1980,0,1200,VI,NA,NA,NA,TBG,Lightning,NA,NA,NA,NA,NA,NA,NA,NA
1980,QUARRY,,BLM,San Bernardino,NA,7/7/1980,7/7/1980,0,900,VI,NA,NA,NA,B,Campfire,NA,NA,NA,NA,NA,NA,NA,NA
1980,RAILROAD,,CDF,Riverside,NA,9/29/1980,9/29/1980,1200,0,VI,NA,NA,NA,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA
1980,REASONS,,CDF,San Benito-Monterey,NA,8/21/1980,8/21/1980,585,0,V,NA,NA,NA,WBAP,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA
1980,RIVERSIDE,,CDF,Riverside,NA,7/28/1980,7/29/1980,500,0,VI,NA,NA,NA,B,Lightning,5,NA,NA,NA,NA,NA,NA,NA
1980,ROCKWALL,,CDF,Tehama-Glenn,NA,7/28/1980,7/28/1980,1670,0,II,NA,NA,NA,W,Lightning,NA,NA,NA,NA,NA,NA,NA,NA
1980,SALVADOR,,CDF,San Diego,NA,7/4/1980,7/6/1980,2800,0,VI,NA,NA,NA,B,Debris,NA,NA,NA,NA,NA,NA,NA,NA
1980,SCENIC,,CDF,Riverside,NA,6/29/1980,6/30/1980,650,0,VI,NA,NA,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1980,SHIRTAIL,,CDF,San Benito-Monterey,NA,9/23/1980,9/24/1980,2060,0,V,NA,NA,NA,BG,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1980,SKYLINE,,CDF,San Bernardino,NA,8/29/1980,8/29/1980,570,0,VI,NA,NA,NA,B,Play W/Fire,NA,NA,NA,NA,NA,NA,NA,NA
1980,SOUTH MOUNTAIN,,CC,San Bernardino,NA,10/29/1980,10/30/1980,0,3600,VI,NA,NA,NA,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA
1980,STABLE,,USFS,San Bernardino,NA,11/15/1980,11/19/1980,0,6066,VI,NA,NA,NA,B,Cooking Fire,65,NA,NA,NA,NA,NA,NA,NA
1980,STODDARD SERIES,,CDF,San Bernardino,NA,9/28/1980,9/28/1980,350,0,VI,NA,NA,NA,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA
1980,SUMMIT,,CDF,San Bernardino,NA,11/25/1980,11/29/1980,2191,1406,VI,NA,NA,NA,B,Arson,1,NA,NA,NA,NA,NA,NA,NA
