FID,OBJECTID,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,EXPECT_MAT,Year_rb,Fire_me_rb,Expect_m_1,Region_rb,DPA_rb,Ranger_uni,Ranger_u_1,Start_rb,Contained_,CDF_acres_,Other_acre,Total_acre,Veg_type_r,Cause_rb,Destroyed_,Incident_n,tiol_fores,County_rb,County2_rb,County3_rb,Fire_me2_r,DPA2_rb,Damaged_st,Firefighte,Civilian_f,Total_dama,YEAR1,WUI_area
118,6026,CA,CCO,LAC,TURNBULL FIRE,00929114,1989-07-03,,14, ,0,1229.140015,0,1,00000489,14441.10683,4974156.714,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1989,375.76395
119,6027,CA,CDF,MVU,QUESTHAVEN,00000000,1994-11-29,,14, ,0,65.22360229,0,1,000045.0,2784.391807,263950.5636,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1994,0.08022
120,6028,CA,CDF,MVU,OLD JULIAN,00003298,1994-08-01,,2, ,0,209.8280029,0,1,00001078,4915.142287,849142.0993,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1994,16.96263
121,6033,CA,CDF,MVU,ROCOSO,00000000,1994-01-12,,14, ,0,3217.909912,0,1,000037.0,26513.75844,13022427.09,1,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1994,248.51984
122,6038,CA,CDF,RRU,FAIRVIEW,00028900,1994-06-27,,7, ,0,1740.73999,0,1,00000869,13432.47034,7044537.067,0,1994,FAIRVIEW, ,South,CDF,Riverside, ,6/27/1994,6/29/1994,1760,0,1760,B,Arson,0, , , , , , , ,0,0,0,0,1994,9.28965
123,6252,CA,USF,LPF,SECO,00000000,1992-08-01,1992-08-04,9, ,2559,2659.360107,8,1,00000026,14511.54921,10762051.09,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1992,116.44319
124,6253,CA,CDF,MVU,LOVELAND,00000000,1992-07-18,,14, ,0,2080.889893,0,1,000019.0,20360.38005,8421065.346,1,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1992,574.91162
125,6255,CA,CDF,BDU, ,00043031,1992-07-19,,9, ,0,240.947998,0,1,00000454,4653.325534,975080.8985,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1992,1.08351
126,6258,CA,CCO,LAC,AZUSA FIRE 26 ACRES,00000000,1992-06-29,,14, ,0,35.47290039,0,1,00000000,2076.141866,143553.8989,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1992,0.02492
127,6261,CA,CCO,LAC,LA TUNA FIRE 6 AC,00000000,1992-06-22,,14, ,0,6.022540092,0,1,00000000,733.3694905,24372.34877,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1992,6.02254
128,6276,CA,CDF,RRU,RIVERSIDE,00014682,1980-07-28,,14, ,0,361.5799866,0,1,00001024,5760.847417,1463263.108,0,1980,RIVERSIDE, ,VI,CDF,Riverside, , , ,500,0,500,B,Lightning,5, , , , , , , , ,0,0,5,1980,192.27758
129,6277,CA,CDF,RRU,LINK,00011547,1980-06-21,,14, ,0,924.3380127,0,1,00000595,9627.041927,3740662.49,0,1980,LINK, ,VI,CDF,Riverside, , , ,725,0,725,BG,Arson,0, , , , , , , , ,0,0,0,1980,721.46171
130,6281,CA,CDF,RRU,TURNER,00022240,1980-11-16,,14, ,0,31446.80078,0,1,00001727,63079.02016,127260845.6,0,1980,TURNER, ,VI,CDF,Riverside, , , ,7500,20500,28000,BGA,Arson,7, , , , , , , , ,0,0,7,1980,5613.42227
131,6283,CA,USF,ANF,THUNDER,00000000,1980-11-24,1980-12-02,2, ,12100,10008.59961,0,1,00000141,34920.55628,40503417.78,0,1980,THUNDER, ,VI,USFS,San Berrdino, , , ,0,11500,11500,B,Equipment use,29, , , , , , , , ,0,0,29,1980,28.79271
132,6316,CA,CCO,LAC, ,00000000,1980-01-03,,14, ,0,5.632659912,0,1,00000000,675.3895039,22794.56775,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1980,3.21353
133,6317,CA,CCO,LAC, ,00000000,1980-08-20,,14, ,0,7.174449921,0,1,00000000,919.1791071,29033.97906,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1980,6.15262
134,6318,CA,CCO,LAC, ,00000000,1980-07-06,,14, ,0,64.61579895,0,1,00000000,2255.013686,261490.9671,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1980,61.55691
135,6320,CA,CCO,LAC,FOOTHILL FIRE,00316027,1980-11-15,,14, ,0,267.4169922,0,1,00004175,4803.585159,1082199.147,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1980,200.77951
136,6321,CA,CCO,LAC,STABLE FIRE,00711897,1980-11-15,,14, ,0,6048.669922,0,1,00000324,35104.96903,24478082.54,0,1980,STABLE, ,VI,USFS,San Berrdino, , , ,0,6066,6066,B,Cooking Fire,65, , , , , , , , ,0,0,65,1980,917.30318
137,6325,CA,CDF,MMU,RANDALL,00000000,1980-08-08,,14, ,0,227.576004,0,1,00000000,3776.276483,920965.6569,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1980,58.03036
138,6381,CA,CDF,MVU,VESPER,00000757,1979-06-09,,9, ,0,402.2460022,0,1,00000253,6798.575785,1627830.829,0,1979,VESPER, ,VI,CDF,San Diego, , , ,450,0,450,BA,Campfire,0, , , , , , , , ,0,0,0,1979,402.24576
139,6382,CA,USF,CNF, ,00000000,,,14, ,0,965.7130127,0,1,00000217,15426.6169,3908102.025,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1979,22.94611
140,6384,CA,USF,CNF, ,00000000,,,14, ,0,112.2929993,0,1,00000184,3180.350954,454435.4426,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1979,112.29344
141,6386,CA,USF,CNF, ,00000000,,,14, ,0,479.9679871,0,1,00000197,7208.14021,1942361.831,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1979,215.57017
142,6387,CA,USF,CNF, ,00000000,,,9, ,0,37.74219894,0,1,00000178,1489.766287,152737.1417,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1979,1.72604
143,6388,CA,USF,CNF, ,00000000,,,14, ,0,229.3869934,0,1,00000199,3932.575058,928294.8597,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1979,0.70648
144,6389,CA,USF,CNF, ,00000000,,,9, ,0,132.1940002,0,1,00000170,3599.081183,534969.7721,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1979,103.39023
145,6392,CA,USF,CNF, ,00000000,,,9, ,0,211.6289978,0,1,00000214,5461.362479,856433.3893,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1979,27.94108
146,6549,CA,CCO,ORC,TELEGRAPH,00000000,,,14, ,0,1634.900024,0,1,00000000,14405.68947,6616185.712,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1985,42.83016
147,6550,CA,CCO,ORC,ORTEGA,00000000,,,14, ,0,2471.110107,0,1,00000000,14028.33035,10000221.62,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1988,93.47144
